merchantId,merchantName,mccCode
17790713503001,17790713503001name,22222
17790713503002,17790713503002name,22222
17790713503003,17790713503003name,22222
17790713503004,17790713503004name,22222
17790713503005,17790713503005name,22222
17790713503006,17790713503006name,22222
17790713503007,17790713503007name,22222
17790713503008,17790713503008name,22222
17790713503009,17790713503009name,22222
17790713503010,17790713503010name,22222
17790713503011,17790713503011name,22222
17790713503012,17790713503012name,22222
17790713503013,17790713503013name,22222
17790713503014,17790713503014name,22222
17790713503015,17790713503015name,22222
17790713503016,17790713503016name,22222
17790713503017,17790713503017name,22222
17790713503018,17790713503018name,22222
17790713503019,17790713503019name,22222
17790713503020,17790713503020name,22222
17790713503021,17790713503021name,22222
17790713503022,17790713503022name,22222
17790713503023,17790713503023name,22222
17790713503024,17790713503024name,22222
17790713503025,17790713503025name,22222
17790713503026,17790713503026name,22222
17790713503027,17790713503027name,22222
17790713503028,17790713503028name,22222
17790713503029,17790713503029name,22222
17790713503030,17790713503030name,22222
17790713503031,17790713503031name,22222
17790713503032,17790713503032name,22222
17790713503033,17790713503033name,22222
17790713503034,17790713503034name,22222
17790713503035,17790713503035name,22222
17790713503036,17790713503036name,22222
17790713503037,17790713503037name,22222
17790713503038,17790713503038name,22222
17790713503039,17790713503039name,22222
17790713503040,17790713503040name,22222
17790713503041,17790713503041name,22222
17790713503042,17790713503042name,22222
17790713503043,17790713503043name,22222
17790713503044,17790713503044name,22222
17790713503045,17790713503045name,22222
17790713503046,17790713503046name,22222
17790713503047,17790713503047name,22222
17790713503048,17790713503048name,22222
17790713503049,17790713503049name,22222
17790713503050,17790713503050name,22222
17790713503051,17790713503051name,22222
17790713503052,17790713503052name,22222
17790713503053,17790713503053name,22222
17790713503054,17790713503054name,22222
17790713503055,17790713503055name,22222
17790713503056,17790713503056name,22222
17790713503057,17790713503057name,22222
17790713503058,17790713503058name,22222
17790713503059,17790713503059name,22222
17790713503060,17790713503060name,22222
17790713503061,17790713503061name,22222
17790713503062,17790713503062name,22222
17790713503063,17790713503063name,22222
17790713503064,17790713503064name,22222
17790713503065,17790713503065name,22222
17790713503066,17790713503066name,22222
17790713503067,17790713503067name,22222
17790713503068,17790713503068name,22222
17790713503069,17790713503069name,22222
17790713503070,17790713503070name,22222
17790713503071,17790713503071name,22222
17790713503072,17790713503072name,22222
17790713503073,17790713503073name,22222
17790713503074,17790713503074name,22222
17790713503075,17790713503075name,22222
17790713503076,17790713503076name,22222
17790713503077,17790713503077name,22222
17790713503078,17790713503078name,22222
17790713503079,17790713503079name,22222
17790713503080,17790713503080name,22222
17790713503081,17790713503081name,22222
17790713503082,17790713503082name,22222
17790713503083,17790713503083name,22222
17790713503084,17790713503084name,22222
17790713503085,17790713503085name,22222
17790713503086,17790713503086name,22222
17790713503087,17790713503087name,22222
17790713503088,17790713503088name,22222
17790713503089,17790713503089name,22222
17790713503090,17790713503090name,22222
17790713503091,17790713503091name,22222
17790713503092,17790713503092name,22222
